 ----------------------------------------------------------------------
 #P 
 ----------------------------------------------------------------------

  and normal coordinates:

                       1                       2                       3            
                       A                       A                       A            
 Frequencies --       -205.1182               -37.3765               -22.0162       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     9   6   -0.02    0.00    0.02   -0.01    0.02   -0.02    0.02    0.02   -0.00
    10   6   -0.04   -0.01    0.01    0.02    0.03    0.03    0.08    0.04    0.07
    11   6    0.01   -0.01   -0.01    0.03    0.02    0.00   -0.02    0.03    0.02
    12   6    0.02   -0.02   -0.03    0.03   -0.02   -0.03    0.03   -0.00   -0.03
    13   6    0.01    0.06    0.03    0.02    0.01    0.00    0.05   -0.06   -0.02
    14   6    0.01   -0.04   -0.01   -0.03   -0.00   -0.01   -0.04   -0.05    0.03
    15   6    0.04    0.03   -0.02   -0.05   -0.00   -0.01   -0.07   -0.03   -0.01
    16   1   -0.03   -0.02   -0.03   -0.01   -0.02   -0.01   -0.02    0.01   -0.02
    17   1   -0.01    0.02    0.04   -0.03    0.02    0.04   -0.06    0.05    0.04
    18   1    0.02    0.02   -0.03   -0.03   -0.04    0.01   -0.05    0.01   -0.02
    19   1    0.02    0.01   -0.03    0.02   -0.02    0.00    0.00   -0.01   -0.01
    20   1   -0.00   -0.01   -0.05    0.00   -0.02    0.02   -0.00    0.02   -0.00
    21   1   -0.03   -0.03    0.01    0.01   -0.02   -0.01   -0.01    0.03   -0.04
    22   1   -0.02   -0.01    0.02   -0.01    0.04   -0.03   -0.02    0.03   -0.02
    23   1   -0.01    0.02    0.03   -0.01    0.01   -0.06    0.01   -0.03   -0.00
    24   1    0.01   -0.01    0.02   -0.04    0.05   -0.03   -0.01    0.08   -0.03
    25   1   -0.03    0.01   -0.02    0.01   -0.01    0.09    0.05   -0.04    0.21
    26   1   -0.06   -0.03    0.00    0.05    0.09    0.05    0.20    0.14    0.10
    27   1   -0.07    0.00    0.03    0.45   -0.02   -0.19   -0.18    0.01    0.12
    28   1    0.03    0.01   -0.14    0.00    0.08    0.49   -0.01    0.01   -0.15
    29   1    0.12   -0.03    0.04   -0.37   -0.02   -0.24    0.13    0.08    0.13
    30   1    0.03   -0.07   -0.01    0.04   -0.06   -0.02    0.03   -0.01   -0.03
    31   1    0.01    0.03   -0.03    0.01    0.02   -0.04    0.02    0.03   -0.03
    32   1    0.03   -0.02   -0.09    0.03   -0.03   -0.08    0.01   -0.02   -0.04
    33   1   -0.01    0.08    0.06    0.03    0.01    0.03    0.11   -0.11   -0.01
    34   1    0.04    0.08    0.01    0.01    0.02   -0.02   -0.02   -0.08   -0.02
    35   1   -0.09   -0.25    0.20   -0.03   -0.01    0.02   -0.10   -0.18    0.16
    36   1   -0.14    0.18   -0.07   -0.04    0.02   -0.01   -0.15    0.06   -0.01
    37   1    0.28   -0.11   -0.14   -0.02   -0.01   -0.03    0.12   -0.08   -0.02
    38   1    0.24   -0.25   -0.01    0.00   -0.10    0.01   -0.12    0.02    0.01
    39   1    0.19    0.34    0.10    0.01    0.12   -0.00   -0.10   -0.09   -0.05
    40   1   -0.28    0.04   -0.12   -0.18    0.01   -0.04   -0.01   -0.04   -0.01

                       19                      20                      21           
                       A                       A                       A            
 Frequencies --        278.3510               314.3965               331.7836       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6   -0.02    0.05    0.02    0.05   -0.04   -0.04    0.02   -0.01   -0.01
     2   6    0.01   -0.00   -0.01    0.04   -0.02   -0.02   -0.01    0.01    0.02
     3   6   -0.02   -0.01   -0.01    0.01    0.05    0.00   -0.03   -0.06    0.03
     4   6   -0.00    0.05   -0.00   -0.00   -0.03   -0.00    0.03    0.00   -0.00
     5   6    0.00   -0.02    0.00    0.02    0.01    0.01   -0.02   -0.02    0.00
     6   6   -0.00    0.04   -0.03   -0.00   -0.03    0.04    0.01   -0.05    0.05
     7   6    0.01   -0.02    0.00    0.01    0.01    0.02    0.02   -0.01   -0.01
     8   6    0.01   -0.03   -0.00    0.00   -0.00    0.01    0.03    0.02   -0.03
     9   6    0.00   -0.03   -0.00   -0.01   -0.02   -0.00    0.04    0.05   -0.02
    10   6   -0.00   -0.03   -0.01   -0.00   -0.01   -0.04   -0.02    0.03   -0.01
    11   6    0.06   -0.03    0.00    0.00   -0.01   -0.01   -0.06    0.03    0.02
    12   6   -0.04    0.00    0.02   -0.01    0.09    0.04   -0.01   -0.10   -0.04
    13   6   -0.03   -0.02   -0.01    0.02    0.05    0.00   -0.03    0.00    0.02
    14   6    0.04   -0.03    0.03   -0.08    0.04    0.01    0.01    0.06   -0.02
    15   6   -0.02    0.08   -0.01   -0.02   -0.07   -0.02    0.03    0.03    0.00
    16   1    0.03    0.06    0.10    0.01   -0.01   -0.14   -0.02   -0.02   -0.05
    17   1    0.05   -0.03   -0.02    0.04   -0.03   -0.03   -0.01    0.02    0.04
    18   1   -0.01    0.09   -0.04    0.01   -0.10    0.05    0.01   -0.17    0.06
    19   1   -0.10    0.10    0.03    0.14   -0.10   -0.06    0.07   -0.03   -0.02
    20   1   -0.02    0.01   -0.09    0.00   -0.00    0.11   -0.04   -0.00    0.15
    21   1   -0.00   -0.03    0.00    0.01    0.02    0.02    0.05   -0.01   -0.00
    22   1    0.01   -0.02   -0.01    0.02   -0.01    0.00    0.03    0.02   -0.03
    23   1    0.00   -0.03   -0.01   -0.01   -0.03   -0.02    0.05    0.10    0.00
    24   1    0.00   -0.04    0.00   -0.03   -0.03    0.02    0.08    0.04   -0.04
    25   1    0.00   -0.02   -0.03    0.02    0.02   -0.11   -0.03    0.04   -0.01
    26   1   -0.01   -0.04   -0.01   -0.06   -0.07   -0.05   -0.04    0.04   -0.00
    27   1    0.18   -0.05   -0.05    0.03    0.00   -0.03   -0.13    0.03    0.05
    28   1    0.06    0.02    0.13    0.01   -0.00    0.01   -0.09   -0.06    0.02
    29   1   -0.03   -0.06   -0.06   -0.02   -0.03   -0.03   -0.08    0.13    0.04
    30   1   -0.06    0.04    0.00   -0.03    0.14    0.01    0.01   -0.19   -0.01
    31   1   -0.02   -0.02    0.01    0.01    0.05    0.03   -0.02   -0.04   -0.05
    32   1   -0.05    0.00    0.06   -0.03    0.08    0.11    0.01   -0.10   -0.13
    33   1   -0.03   -0.02   -0.02    0.02    0.04    0.00   -0.08    0.04    0.04
    34   1   -0.03   -0.02   -0.01    0.02    0.04    0.01    0.01    0.03   -0.01
    35   1   -0.07   -0.27    0.21   -0.12   -0.03    0.26   -0.02    0.00    0.12
    36   1   -0.10    0.18   -0.03   -0.26    0.25   -0.07   -0.08    0.24   -0.05
    37   1    0.34   -0.10   -0.08    0.05   -0.02   -0.15    0.10    0.01   -0.17
    38   1   -0.15    0.28   -0.03   -0.08   -0.03    0.00   -0.03    0.17   -0.03
    39   1   -0.11   -0.11   -0.11   -0.07   -0.16   -0.04   -0.03   -0.11   -0.04
    40   1    0.17    0.08    0.11    0.06   -0.09   -0.04    0.18    0.03    0.09

                       22                      23                      24           
                       A                       A                       A            
 Frequencies --        338.2460               374.2390               398.6467       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.00    0.02   -0.05    0.03    0.01   -0.03   -0.01   -0.01    0.03
     2   6   -0.01    0.02   -0.03    0.03   -0.03   -0.01    0.02   -0.06   -0.02
     3   6   -0.00   -0.02   -0.02   -0.05    0.00    0.02    0.01    0.00   -0.01
     4   6    0.01    0.03    0.01   -0.01    0.04    0.05    0.04   -0.03   -0.05
     5   6   -0.02    0.01   -0.00    0.01   -0.00    0.03    0.01   -0.00    0.05
