# Iteration 0
Image 0:
-0.011641 -0.132018 -0.063764
0.140205 0.053321 -0.019487
0.300395 -0.032714 -0.045867
-0.310870 -0.006666 0.037203
-0.091158 0.020126 0.041504
-0.089872 -0.279103 -0.157066
-0.076133 -0.221478 -0.145326
0.023497 0.199690 0.149036
0.007953 0.105349 0.153878
-0.071333 0.170878 -0.052777
-0.191148 0.193361 0.152916
0.029549 0.118756 0.144020
0.256927 0.184340 0.078773
0.169816 -0.156829 -0.072314
0.207807 -0.202850 -0.166529
-0.199369 0.016986 0.016586
-0.256750 -0.180928 -0.097273
1.878858 -0.015953 0.157070
-2.487494 -0.521017 -0.689657
0.036516 -0.175728 0.267455
-0.201288 0.215134 -0.179579
0.619091 0.444171 0.646341
0.260482 -0.035988 -0.414560
-0.204023 0.242320 0.172982
0.258257 0.219649 0.108697
0.301485 0.182862 0.071093
0.256307 -0.204721 -0.164753
0.201406 -0.247072 -0.176491
-0.257993 -0.215449 -0.118372
-0.305335 -0.178288 -0.092522
-0.253749 0.202938 0.166162
-0.152350 0.334186 -0.213854
0.054668 0.125134 0.253620
-0.256458 -0.235249 0.124265

Image 9:
-0.064029 0.495969 -0.201651
0.206186 -0.444894 0.546838
-0.072035 -0.166254 -0.715158
-0.040446 -0.107331 -0.467866
-0.173554 0.055360 0.213514
-0.027522 0.115675 -0.066184
0.312661 -0.087289 0.263651
-0.290568 -0.020813 0.447912
-0.314819 0.022296 -0.127742
0.303093 -0.069104 -0.048827
0.455880 0.099656 -0.023170
0.034033 0.085786 0.058791
0.055031 0.247882 0.119674
-0.005722 -0.264301 -0.139365
0.011628 -0.159371 -0.079866
0.143866 0.034499 -0.026560
0.299339 -0.027666 -0.048316
-0.312472 -0.004056 0.034285
-0.095255 0.000554 0.033854
-0.120055 -0.304395 -0.168880
-0.071341 -0.227842 -0.158912
0.033014 0.212347 0.149175
-0.021775 0.095162 0.164802
-0.033271 0.183524 -0.054086
-0.191924 0.194495 0.154871
0.005749 0.136837 0.147222
0.256336 0.184945 0.078737
0.170466 -0.141021 -0.057128
0.208754 -0.203395 -0.165362
-0.199338 0.028605 0.027372
-0.257073 -0.181789 -0.097370
1.389392 -0.273630 -0.348886
-2.163067 -0.213485 -0.037293
0.085523 -0.109451 0.339235
-0.136048 0.221506 -0.081539
0.648236 0.443490 0.667088
0.263541 -0.049225 -0.522977
-0.204927 0.239389 0.177269
0.258938 0.218381 0.109248
0.299652 0.183499 0.070726
0.255661 -0.207239 -0.163326
0.203026 -0.247041 -0.172710
-0.259337 -0.215277 -0.116004
-0.303573 -0.180006 -0.092943
-0.253190 0.202879 0.166419
-0.150691 0.341823 -0.195823
0.084802 0.094216 0.251812
-0.222775 -0.233899 0.155450

Image 10:
-0.107111 0.568592 -0.248317
0.317257 -0.612384 0.378629
-0.081579 -0.070155 -0.964318
-0.002224 -0.165002 -0.426163
-0.165243 0.060692 0.234171
-0.022078 0.096719 -0.021107
0.319181 -0.100530 0.305441
-0.327321 -0.009647 0.451530
-0.297312 0.037642 -0.124225
0.290642 -0.046196 -0.048548
0.457044 0.093113 -0.010123
0.051831 0.076683 0.050472
0.054104 0.254373 0.117241
-0.012785 -0.266078 -0.140239
0.037382 -0.173736 -0.083417
0.140181 0.008965 -0.041266
0.303204 -0.023587 -0.051075
-0.318922 0.000574 0.031731
-0.089378 -0.025287 0.016758
-0.150565 -0.317139 -0.177197
-0.069083 -0.231596 -0.169258
0.039277 0.225352 0.151039
-0.057589 0.078522 0.168540
-0.002021 0.195078 -0.047003
-0.192783 0.195756 0.156222
-0.004142 0.147367 0.143966
0.256058 0.186094 0.079112
0.172209 -0.130096 -0.049124
0.210839 -0.205011 -0.163128
-0.206191 0.037203 0.038715
-0.258219 -0.183417 -0.098275
0.773793 -0.571334 -0.903636
-1.774840 0.129049 0.743718
0.118824 -0.044074 0.399467
-0.075605 0.220482 0.012081
0.671230 0.434073 0.656850
0.261297 -0.056660 -0.595764
-0.204741 0.238145 0.179508
0.258189 0.219781 0.108401
0.298706 0.184440 0.069035
0.255833 -0.208396 -0.162158
0.204229 -0.247327 -0.170830
-0.260239 -0.216164 -0.114912
-0.302764 -0.180523 -0.093517
-0.252973 0.202762 0.165708
-0.152759 0.347673 -0.184441
0.103671 0.078876 0.253751
-0.206514 -0.233667 0.175954

Image 11:
-0.133962 0.585194 -0.305964
0.553462 -0.773366 0.125355
-0.061177 0.038182 -1.147279
0.026871 -0.164912 -0.343146
-0.123175 0.062775 0.245745
-0.032920 0.056239 0.004052
0.293509 -0.125628 0.329051
-0.317463 -0.007116 0.431447
-0.287240 0.051314 -0.109453
0.288100 -0.022722 -0.041367
0.425312 0.078735 -0.010304
0.050785 0.055813 0.040429
0.063705 0.260459 0.117971
-0.004783 -0.269215 -0.142243
0.050534 -0.161893 -0.071609
0.129296 -0.004689 -0.043177
0.305836 -0.029249 -0.055330
-0.324165 -0.007397 0.023217
-0.070732 -0.032608 0.005985
-0.155846 -0.301403 -0.169856
-0.080926 -0.230819 -0.169830
0.029480 0.231468 0.153319
-0.071440 0.073030 0.164830
-0.000271 0.192214 -0.039155
-0.192827 0.196474 0.156898
-0.003639 0.156957 0.140462
0.256811 0.188005 0.078216
0.169187 -0.129779 -0.046473
0.212955 -0.207661 -0.162286
-0.215383 0.030757 0.038630
-0.260000 -0.184512 -0.099404
-0.018335 -0.917859 -1.501590
-1.314343 0.551226 1.678583
0.141701 0.011881 0.428650
-0.015058 0.211512 0.088704
0.676940 0.411183 0.604737
0.266729 -0.059812 -0.653058
-0.203376 0.239061 0.179465
0.255937 0.223162 0.106424
0.299412 0.185204 0.065496
0.257073 -0.207669 -0.160949
0.203051 -0.248199 -0.170885
-0.259294 -0.218028 -0.115380
-0.303838 -0.178699 -0.093413
-0.252972 0.201415 0.163559
-0.158415 0.351808 -0.176910
0.112620 0.074782 0.264092
-0.207723 -0.235615 0.193743

Image 12:
-0.149469 0.556662 -0.318565
0.812975 -0.879383 -0.027012
-0.018281 0.157339 -1.246536
0.045565 -0.151211 -0.256175
-0.088000 0.064405 0.248834
-0.044226 0.022747 0.027104
0.264392 -0.153719 0.339590
-0.295638 -0.000580 0.403946
-0.286540 0.056266 -0.089830
0.295772 -0.006874 -0.037915
0.385753 0.069111 -0.009127
0.054956 0.047170 0.036319
0.071738 0.272030 0.124106
0.000494 -0.279825 -0.146488
0.057906 -0.155883 -0.063788
0.124691 -0.020932 -0.044510
0.316092 -0.034602 -0.057389
-0.333367 -0.013778 0.017686
-0.070033 -0.037996 -0.005596
-0.156348 -0.280388 -0.159409
-0.089208 -0.236967 -0.172231
0.024569 0.241715 0.158928
-0.082422 0.082961 0.167369
-0.010016 0.178276 -0.033460
-0.192501 0.197092 0.156837
0.004138 0.159371 0.132477
0.257445 0.190496 0.076184
0.162058 -0.127954 -0.045934
0.215493 -0.209441 -0.161081
-0.217986 0.016403 0.031056
-0.261065 -0.184701 -0.099964
-0.867921 -1.196215 -1.996502
-0.851068 0.865850 2.312142
0.174608 0.053708 0.457995
0.058114 0.226918 0.168816
0.675778 0.381954 0.532758
0.274323 -0.061404 -0.706146
-0.201654 0.239889 0.178431
0.253489 0.226870 0.103485
0.300610 0.186871 0.061968
0.257803 -0.206668 -0.159967
0.202329 -0.249198 -0.171684
-0.258377 -0.219150 -0.116172
-0.304187 -0.177051 -0.093088
-0.252618 0.200173 0.161275
-0.163780 0.354131 -0.171594
0.120433 0.076084 0.281607
-0.216818 -0.240570 0.211247

Image 13:
-0.148068 0.455661 -0.245464
0.830556 -0.885152 -0.090335
0.024958 0.268881 -1.231318
0.036748 -0.170487 -0.219479
-0.105972 0.081675 0.228619
-0.050163 0.039203 0.054557
0.264669 -0.167209 0.306698
-0.262004 -0.008729 0.361040
-0.286285 0.049866 -0.067172
0.305972 0.000978 -0.036251
0.358386 0.043130 -0.015700
0.035406 0.043095 0.035033
0.075654 0.278624 0.132972
0.003371 -0.292739 -0.146468
0.048333 -0.162018 -0.060196
0.128028 -0.022087 -0.041128
0.332518 -0.037022 -0.052098
-0.347751 -0.012496 0.023588
-0.078494 -0.036431 -0.009787
-0.129485 -0.257621 -0.150394
-0.093622 -0.244530 -0.169016
0.021252 0.245040 0.166213
-0.064314 0.119092 0.178597
-0.031601 0.144113 -0.033133
-0.192806 0.198653 0.156302
0.000532 0.161914 0.131734
0.258159 0.193839 0.071297
0.157625 -0.114552 -0.041171
0.217627 -0.211259 -0.160546
-0.217916 -0.001889 0.020850
-0.261653 -0.183538 -0.100655
-1.601526 -1.270911 -2.113371
-0.249406 0.934490 2.354360
0.213079 0.095244 0.495898
0.141704 0.252100 0.263729
0.651219 0.338392 0.436705
0.283953 -0.067258 -0.750353
-0.200090 0.240751 0.175984
0.250913 0.230510 0.098678
0.301211 0.189655 0.057893
0.257092 -0.204827 -0.160091
0.202089 -0.248866 -0.172172
-0.257072 -0.217000 -0.118244
-0.302640 -0.175194 -0.093666
-0.251305 0.199663 0.157147
-0.165647 0.353128 -0.167993
0.128975 0.082589 0.307314
-0.232214 -0.248472 0.230997

Image 14:
-0.118811 0.236675 0.049946
-0.176650 -1.013149 -1.573244
0.074259 0.025350 -0.501293
0.016932 -0.180333 -0.254920
-0.141203 0.119930 0.153491
-0.045020 0.103730 0.008857
0.245592 -0.131925 0.169841
-0.227160 -0.034461 0.309839
-0.279241 0.030385 -0.059665
0.299784 0.002973 -0.035786
0.348179 -0.011816 -0.031974
-0.025312 0.064483 0.050132
0.073996 0.277620 0.139939
0.015563 -0.295558 -0.139290
-0.005451 -0.164893 -0.054916
0.146667 0.046017 0.003023
0.312931 -0.070588 -0.053024
-0.335458 -0.040648 0.011999
-0.098353 0.037604 0.035375
-0.034798 -0.190121 -0.120335
-0.109697 -0.234725 -0.144451
-0.003495 0.226102 0.161542
0.023838 0.193035 0.202325
-0.059977 0.049137 -0.078305
-0.192541 0.198716 0.159660
-0.030587 0.139530 0.108692
0.258349 0.191949 0.072317
0.132226 -0.097760 -0.036836
0.218115 -0.218244 -0.158017
-0.178309 -0.039670 -0.003077
-0.264672 -0.186851 -0.099742
-1.955332 -0.780433 -1.112421
0.799233 0.799324 1.774603
0.327427 0.208787 0.649779
0.290831 0.360116 0.481043
0.671077 0.284372 0.307454
0.288305 -0.093782 -0.752885
-0.193983 0.236260 0.178631
0.245650 0.228602 0.098792
0.300567 0.187974 0.056125
0.257536 -0.203191 -0.157110
0.200552 -0.249685 -0.168413
-0.253715 -0.215570 -0.120075
-0.300348 -0.174207 -0.090975
-0.250505 0.194698 0.154637
-0.150243 0.340278 -0.176151
0.143208 0.101477 0.338527
-0.259960 -0.257515 0.246334

Image 15:
-0.039282 -0.211523 0.673637
-2.620982 -1.860939 -5.747217
0.068246 -0.550900 0.689589
-0.004782 -0.143091 -0.421230
-0.227684 0.188381 -0.004246
-0.043739 0.239511 -0.144402
0.244845 0.049533 -0.020737
-0.193235 -0.101025 0.232814
-0.221416 0.060152 -0.053220
0.233297 0.034389 -0.036408
0.220916 -0.087856 -0.040753
-0.076841 0.023966 0.035163
0.072562 0.264351 0.126585
0.030698 -0.274640 -0.136796
-0.077619 -0.113239 -0.005619
0.048503 0.078037 0.042470
0.307080 -0.073632 -0.048166
-0.334040 -0.036837 0.007392
-0.007976 0.062003 0.045784
-0.007821 -0.144971 -0.095958
-0.101617 -0.236637 -0.139896
-0.010762 0.214785 0.147722
0.090296 0.072622 0.115474
0.051945 0.047528 -0.096232
-0.190503 0.196698 0.164595
-0.065363 0.094976 0.066573
0.257809 0.187250 0.081594
0.114213 -0.034292 -0.006545
0.221454 -0.222156 -0.151861
-0.123061 0.020139 0.027614
-0.266470 -0.190953 -0.097677
-1.689051 0.541628 1.653705
2.370851 0.716062 1.235667
0.585771 0.399988 0.962738
0.646171 0.559262 0.944652
0.702118 0.231086 0.239814
0.262041 -0.133442 -0.666592
-0.184241 0.224487 0.186513
0.239851 0.220766 0.108950
0.299907 0.180189 0.061485
0.259425 -0.203207 -0.144859
0.196505 -0.255816 -0.161427
-0.247326 -0.224258 -0.117029
-0.300281 -0.171708 -0.079829
-0.248748 0.183422 0.158113
-0.107589 0.305785 -0.202757
0.157469 0.135170 0.363328
-0.291547 -0.261042 0.247483

Image 16:
0.015194 -0.388540 0.887423
-2.578642 -1.614682 -5.193438
0.062693 -0.421694 0.625386
-0.007124 -0.124031 -0.404515
-0.206802 0.210108 -0.064175
-0.046048 0.266723 -0.138624
0.221522 0.075085 -0.065821
-0.215441 -0.052031 0.212364
-0.266332 0.035526 -0.030525
0.271420 0.024377 -0.052278
0.233486 -0.058848 -0.039540
-0.039270 0.022735 0.014786
0.063516 0.309609 0.156597
0.008941 -0.315209 -0.155504
-0.046936 -0.128309 -0.012291
0.073042 0.041709 0.021254
0.336838 -0.067756 -0.041495
-0.357280 -0.024418 0.012148
-0.049333 0.045239 0.031265
-0.052533 -0.148138 -0.099322
-0.082344 -0.275139 -0.166335
0.015993 0.250814 0.167147
0.046438 0.078949 0.112324
0.046102 0.066690 -0.066356
-0.187118 0.191241 0.162640
-0.038234 0.123166 0.072326
0.256746 0.186260 0.080987
0.114766 -0.046860 -0.018580
0.219615 -0.222272 -0.146379
-0.130131 0.002207 0.004841
-0.260529 -0.191018 -0.092018
-1.427724 0.661273 1.772649
2.200153 0.509008 0.814357
0.541589 0.287352 0.893343
0.578106 0.559654 0.838060
0.656150 0.151678 0.092747
0.252656 -0.164509 -0.634419
-0.182751 0.221945 0.185154
0.239819 0.223177 0.105508
0.299321 0.180581 0.060925
0.259013 -0.203709 -0.141443
0.196544 -0.256489 -0.159113
-0.245513 -0.224965 -0.115600
-0.298128 -0.172036 -0.078014
-0.244753 0.180723 0.156736
-0.091454 0.292346 -0.225065
0.173038 0.169430 0.400241
-0.328278 -0.266953 0.259643

Image 17:
0.072228 -0.524987 1.040305
-2.133115 -1.604449 -5.006114
0.055328 -0.307398 0.506743
-0.012945 -0.124536 -0.393204
-0.216794 0.226015 -0.105786
-0.046049 0.300024 -0.127932
0.210605 0.095243 -0.106316
-0.228642 -0.016087 0.187271
-0.294959 0.018424 -0.006264
0.300592 0.018820 -0.060094
0.237418 -0.033067 -0.036699
-0.010748 0.031329 0.003537
0.058489 0.336431 0.174613
-0.004630 -0.339354 -0.164668
-0.023931 -0.147136 -0.020415
0.089565 0.011181 0.003114
0.361727 -0.057704 -0.033623
-0.376217 -0.010090 0.019581
-0.072606 0.027620 0.019592
-0.076149 -0.157034 -0.106767
