# Iteration 0
Image 0:
0.090956 0.057878 0.009431
-0.036580 0.153409 -0.081245
0.081250 -0.081882 -0.130252

Image 8:
-0.076747 -0.130200 -0.075798
0.060162 -0.102889 0.094908
-0.043115 -1.079654 0.025260
0.823417 -0.223529 -0.281064
-0.649725 0.445977 1.807204
0.654812 -1.861778 -0.219928
-1.166376 0.682553 0.379924
-0.029236 -0.991990 -0.287471
0.118401 0.254039 0.129180
-0.161157 0.469081 0.323400
0.038720 0.412133 -0.468258
-1.799378 0.776762 0.479303
0.468884 -0.058702 -0.029671
1.209652 -0.142284 -0.259157
1.135239 -0.289322 1.074581
-0.606179 0.404495 -1.111248
0.092172 -0.080655 -0.045472
-0.051412 0.011632 0.094153
-0.039183 0.060645 -0.045708
0.118189 0.062199 0.052428
0.047561 -0.022375 0.029655
-0.010262 -0.025295 -0.025387
-0.118411 -0.014597 -0.000621
0.051277 -0.047706 0.070730
0.037894 0.504316 0.153612
-0.022382 0.003314 -0.176264
0.019196 -0.121934 0.005189
0.009341 0.013592 -0.100732
-0.925068 0.213802 0.033254
-0.144367 -0.121981 0.044758
0.034724 0.007843 -0.004521
-0.559912 0.521540 1.809138
0.512438 -0.758228 -1.320913
0.011054 -0.022050 0.113474
-0.049459 0.000009 -0.014217
0.026995 -0.053818 -0.043643
0.046930 0.016262 -0.048250
-0.094863 0.037310 0.000003
-0.062053 -0.440207 0.017433
0.087654 -0.425911 -0.181352
0.004685 0.122541 -0.003311
0.299383 0.070055 -0.085685
-0.037892 -0.105017 -0.000608
0.084576 -0.052336 -0.095389
-0.020919 -0.140648 0.081190
-0.131249 0.053388 -0.021432
0.074487 0.049849 0.044230
1.004509 1.791927 -1.785459
-0.442738 0.206628 0.044209
0.105095 0.063110 0.010552
-0.005247 0.140206 -0.076648
0.069882 -0.082104 -0.109561

Image 9:
-0.051649 -0.093775 -0.057394
0.047396 -0.111856 0.092869
-0.033134 -1.085793 0.019169
0.843250 -0.253619 -0.345069
-0.667180 0.125297 1.778900
0.650114 -1.846639 -0.272730
-1.263052 0.666469 0.366587
-0.079107 -0.651362 -0.383539
0.112864 0.247440 0.126716
-0.125543 0.417068 0.336981
0.034419 0.353620 -0.259050
-1.660281 0.778882 0.336796
0.437205 -0.064664 0.019950
1.246034 -0.117535 -0.261164
1.052987 -0.269367 1.032776
-0.565390 0.390631 -1.035594
0.091702 -0.053057 -0.028651
-0.049741 0.016200 0.096494
-0.041283 0.058166 -0.045847
0.116569 0.055466 0.052045
0.058621 -0.010727 0.015765
-0.021099 -0.021059 -0.014277
-0.114558 -0.011638 -0.002359
0.047781 -0.048971 0.072914
0.062464 0.545867 0.168927
-0.029409 0.006791 -0.180878
0.009040 -0.118078 0.009082
0.012451 0.008563 -0.118559
-0.942479 0.224303 0.054305
-0.165060 -0.105731 0.043947
0.025266 0.008686 -0.016657
-0.565689 0.664622 1.718898
0.459981 -0.787790 -1.173077
0.062101 -0.042825 0.114000
-0.035003 -0.002503 0.002272
0.024746 -0.052882 -0.044368
0.041368 0.015471 -0.049623
-0.097999 0.037649 -0.000875
-0.082292 -0.432665 -0.013810
0.128935 -0.425527 -0.222661
-0.017863 0.088541 -0.016302
0.252225 0.061169 -0.088669
-0.039325 -0.112237 0.013985
0.094074 -0.074191 -0.085328
-0.023543 -0.118760 0.068094
-0.121094 0.051593 -0.020838
0.068662 0.045053 0.038219
1.121232 1.723925 -1.763374
-0.502900 0.214769 0.061689
0.117142 0.067974 0.011127
0.023285 0.119463 -0.057190
0.052757 -0.080425 -0.094623

Image 10:
-0.027924 -0.024484 -0.035914
0.032293 -0.115985 0.093533
-0.002782 -1.049281 0.000623
0.853749 -0.285789 -0.406650
-0.637026 -0.363282 1.597770
0.629472 -1.668574 -0.336741
-1.398915 0.621099 0.321340
-0.153664 -0.118873 -0.499319
0.101378 0.227542 0.122680
-0.067106 0.335149 0.339733
0.021304 0.243560 0.051021
-1.357330 0.712386 0.148181
0.374723 -0.057203 0.051196
1.305237 -0.089092 -0.253972
0.933852 -0.246538 0.990772
-0.519430 0.373233 -0.949137
0.078331 -0.023229 -0.010841
-0.048404 0.022070 0.099394
-0.042515 0.056268 -0.045982
0.114594 0.044350 0.049836
0.072382 -0.005131 0.001819
-0.030952 -0.018174 -0.004999
-0.111227 -0.006166 -0.003874
0.046211 -0.049719 0.075119
0.087669 0.580750 0.177433
-0.035668 0.009474 -0.182170
